"Position (mm) Run #1";"Position (mm) Run #2";"Position (mm) Run #3";"Position (mm) Run #4";"Position (mm) Run #5";"Position (mm) Run #6"
0,15;-61,58;-123,32;-185,93;-248,71;-311,66
0,34;-61,58;-123,32;-185,92;-248,71;-311,66
0,34;-61,58;-123,32;-186,10;-248,71;-311,66
0,34;-61,58;-123,32;-186,10;-248,71;-311,66
0,34;-61,58;-123,32;-186,10;-248,71;-311,66
0,34;-61,58;-123,34;-186,10;-248,71;-311,66
0,34;-61,58;-123,15;-186,10;-248,71;-311,66
0,34;-61,58;-123,15;-186,10;-248,71;-311,66
0,34;-61,58;-123,15;-186,10;-248,71;-311,66
0,34;-61,58;-123,15;-186,09;-248,71;-311,66
0,34;-61,58;-123,15;-186,28;-248,71;-311,66
0,34;-61,58;-123,15;-186,28;-248,71;-311,66
0,34;-61,56;-123,15;-186,28;-248,71;-311,66
0,34;-61,75;-123,15;-186,28;-248,71;-311,66
0,34;-61,75;-123,15;-186,28;-248,71;-311,66
0,37;-61,75;-123,15;-186,28;-248,71;-311,66
0,17;-61,75;-123,15;-186,28;-248,71;-311,66
0,17;-61,73;-123,15;-186,28;-248,71;-311,66
0,17;-61,92;-123,15;-186,28;-248,71;-311,66
0,17;-61,92;-123,15;-186,28;-248,71;-311,66
0,17;-61,92;-123,15;-186,28;-248,71;-311,66
0,17;-61,90;-123,15;-186,28;-248,71;-311,66
0,20;-62,09;-123,15;-186,28;-248,71;-311,66
0,00;-62,09;-123,15;-186,28;-248,71;-311,66
0,00;-62,09;-123,15;-186,28;-248,71;-311,66
0,00;-62,09;-123,15;-186,28;-248,71;-311,66
0,00;-62,07;-123,15;-186,28;-248,71;-311,66
0,02;-62,26;-123,15;-186,28;-248,71;-311,66
-0,17;-62,26;-123,15;-186,28;-248,71;-311,66
-0,17;-62,26;-123,15;-186,28;-248,71;-311,67
-0,17;-62,26;-123,15;-186,28;-248,71;-311,49
-0,17;-62,24;-123,15;-186,28;-248,72;-311,49
-0,17;-62,44;-123,15;-186,28;-248,54;-311,49
-0,17;-62,44;-123,13;-186,28;-248,54;-311,49
-0,17;-62,44;-123,34;-186,28;-248,54;-311,49
-0,15;-62,44;-123,13;-186,28;-248,54;-311,49
-0,34;-62,44;-123,32;-186,28;-248,54;-311,49
-0,34;-62,44;-123,32;-186,28;-248,54;-311,49
-0,34;-62,44;-123,32;-186,28;-248,54;-311,49
-0,34;-62,42;-123,32;-186,29;-248,54;-311,49
-0,34;-62,61;-123,32;-186,10;-248,54;-311,49
-0,34;-62,61;-123,32;-186,10;-248,54;-311,49
-0,34;-62,61;-123,32;-186,10;-248,54;-311,49
-0,34;-62,61;-123,32;-186,10;-248,54;-311,49
-0,34;-62,61;-123,32;-186,10;-248,54;-311,49
-0,34;-62,61;-123,32;-186,10;-248,54;-311,49
-0,37;-62,61;-123,32;-186,10;-248,55;-311,49
-0,17;-62,61;-123,32;-186,12;-248,37;-311,50
-0,17;-62,63;-123,32;-185,93;-248,37;-311,32
-0,17;-62,44;-123,31;-185,93;-248,37;-311,32
-0,17;-62,44;-123,51;-185,93;-248,37;-311,32
-0,17;-62,44;-123,31;-185,93;-248,37;-311,32
-0,17;-62,44;-123,50;-185,93;-248,37;-311,32
-0,17;-62,44;-123,51;-185,93;-248,37;-311,32
-0,20;-62,44;-123,31;-185,93;-248,37;-311,32
0,00;-62,46;-123,50;-185,95;-248,37;-311,32
0,00;-62,26;-123,50;-185,76;-248,37;-311,32
0,00;-62,26;-123,50;-185,76;-248,37;-311,32
0,00;-62,26;-123,50;-185,76;-248,37;-311,32
-0,02;-62,26;-123,50;-185,76;-248,37;-311,32
0,17;-62,28;-123,50;-185,76;-248,37;-311,32
0,17;-62,09;-123,50;-185,76;-248,37;-311,32
0,17;-62,09;-123,50;-185,76;-248,37;-311,32
