"Position (mm) Run #1";"Position (mm) Run #2";"Position (mm) Run #3";"Position (mm) Run #4";"Position (mm) Run #5";"Position (mm) Run #6";"Position (mm) Run #7"
0,14;-12,73;-25,97;-38,53;-51,57;-64,33;-77,23
0,34;-12,73;-25,97;-38,53;-51,77;-64,33;-77,23
0,34;-12,73;-26,00;-38,53;-51,77;-64,33;-77,23
0,34;-12,73;-25,80;-38,53;-51,77;-64,33;-77,23
0,34;-12,73;-25,80;-38,53;-51,77;-64,33;-77,23
0,34;-12,73;-25,80;-38,53;-51,77;-64,33;-77,23
0,34;-12,73;-25,80;-38,53;-51,77;-64,33;-77,23
0,34;-12,73;-25,80;-38,53;-51,77;-64,33;-77,23
0,34;-12,73;-25,80;-38,53;-51,77;-64,30;-77,23
0,34;-12,73;-25,80;-38,53;-51,74;-64,50;-77,23
0,34;-12,73;-25,83;-38,53;-51,94;-64,50;-77,23
0,34;-12,73;-25,63;-38,53;-51,97;-64,50;-77,23
0,34;-12,73;-25,63;-38,53;-51,77;-64,50;-77,23
0,34;-12,73;-25,63;-38,56;-51,77;-64,50;-77,23
0,37;-12,73;-25,63;-38,36;-51,77;-64,50;-77,23
0,17;-12,73;-25,63;-38,36;-51,77;-64,50;-77,25
0,17;-12,73;-25,63;-38,36;-51,77;-64,50;-77,06
0,17;-12,76;-25,63;-38,36;-51,77;-64,50;-77,06
0,17;-12,56;-25,63;-38,36;-51,77;-64,50;-77,06
0,17;-12,56;-25,63;-38,36;-51,77;-64,50;-77,06
0,17;-12,56;-25,66;-38,36;-51,77;-64,50;-77,06
0,20;-12,56;-25,46;-38,36;-51,80;-64,50;-77,06
0,00;-12,56;-25,46;-38,36;-51,60;-64,50;-77,06
0,00;-12,56;-25,46;-38,36;-51,60;-64,50;-77,06
0,00;-12,56;-25,43;-38,36;-51,60;-64,50;-77,06
0,00;-12,53;-25,63;-38,38;-51,63;-64,53;-77,06
0,00;-12,73;-25,63;-38,18;-51,43;-64,33;-77,06
0,00;-12,73;-25,63;-38,18;-51,43;-64,33;-77,06
0,00;-12,73;-25,63;-38,18;-51,43;-64,33;-77,06
0,00;-12,73;-25,63;-38,18;-51,43;-64,33;-77,06
0,00;-12,73;-25,63;-38,18;-51,46;-64,33;-77,06
0,00;-12,73;-25,63;-38,18;-51,26;-64,33;-77,03
0,00;-12,73;-25,63;-38,18;-51,26;-64,33;-77,23
0,00;-12,73;-25,63;-38,18;-51,26;-64,33;-77,23
0,00;-12,73;-25,63;-38,18;-51,26;-64,33;-77,23
0,00;-12,73;-25,63;-38,18;-51,26;-64,33;-77,23
0,00;-12,73;-25,60;-38,18;-51,28;-64,33;-77,23
0,00;-12,73;-25,80;-38,18;-51,08;-64,33;-77,23
0,00;-12,73;-25,80;-38,18;-51,08;-64,33;-77,23
0,00;-12,73;-25,80;-38,18;-51,08;-64,33;-77,23
0,00;-12,73;-25,80;-38,18;-51,08;-64,33;-77,23
-0,03;-12,73;-25,80;-38,18;-51,08;-64,33;-77,23
0,17;-12,73;-25,80;-38,18;-51,08;-64,33;-77,23
0,17;-12,73;-25,80;-38,18;-51,08;-64,33;-77,23
0,17;-12,73;-25,77;-38,18;-51,08;-64,33;-77,23
0,17;-12,73;-25,97;-38,16;-51,08;-64,33;-77,23
0,17;-12,73;-25,97;-38,36;-51,08;-64,33;-77,23
0,17;-12,73;-25,97;-38,36;-51,08;-64,33;-77,23
0,14;-12,73;-25,97;-38,36;-51,08;-64,33;-77,23
0,34;-12,73;-25,97;-38,36;-51,08;-64,33;-77,23
0,34;-12,73;-25,97;-38,36;-51,08;-64,33;-77,23
0,34;-12,73;-25,97;-38,36;-51,08;-64,33;-77,23
0,34;-12,73;-25,97;-38,36;-51,06;-64,33;-77,23
0,34;-12,73;-25,97;-38,36;-51,26;-64,33;-77,23
0,34;-12,73;-25,97;-38,36;-51,26;-64,33;-77,20
0,34;-12,73;-25,97;-38,36;-51,26;-64,33;-77,40
0,34;-12,73;-25,97;-38,36;-51,26;-64,33;-77,40
0,34;-12,73;-25,97;-38,33;-51,26;-64,33;-77,40
0,34;-12,73;-25,97;-38,53;-51,23;-64,33;-77,40
0,34;-12,73;-25,97;-38,53;-51,43;-64,33;-77,40
0,34;-12,73;-25,97;-38,53;-51,43;-64,33;-77,40
0,34;-12,73;-26,00;-38,53;-51,43;-64,33;-77,40
0,34;-12,73;-25,80;-38,53;-51,40;-64,33;-77,40
