"Position (mm) Run #1";"Position (mm) Run #2";"Position (mm) Run #3";"Position (mm) Run #4";"Position (mm) Run #5";"Position (mm) Run #6"
-6,29;-54,92;-62,14;-19,53;-35,89;-79,55
-7,04;-54,75;-60,88;-21,55;-37,09;-78,23
-7,62;-54,64;-59,85;-22,29;-38,41;-76,63
-8,57;-54,40;-58,98;-23,38;-39,10;-75,25
-5,85;-53,66;-57,27;-25,22;-40,48;-73,88
-8,75;-53,09;-56,29;-25,38;-41,97;-72,50
-9,91;-52,80;-55,26;-28,03;-42,77;-71,13
-10,65;-52,28;-53,31;-28,83;-44,72;-69,75
-11,90;-51,83;-52,51;-30,61;-45,58;-68,38
-9,56;-51,31;-50,62;-32,16;-47,13;-66,95
-9,46;-49,93;-49,53;-33,65;-48,80;-65,80
-13,18;-49,25;-47,98;-35,43;-49,77;-64,37
-13,92;-48,67;-46,32;-36,86;-51,89;-63,17
-15,22;-47,75;-45,35;-38,87;-52,87;-62,02
-12,60;-46,15;-43,23;-40,30;-54,99;-60,48
-12,74;-45,63;-42,25;-42,20;-55,97;-59,73
-16,44;-44,55;-40,08;-44,21;-58,03;-58,58
-17,19;-42,77;-39,33;-45,58;-59,30;-57,04
-18,48;-42,14;-37,27;-47,82;-61,08;-56,24
-15,99;-40,54;-35,95;-49,14;-62,57;-55,26
-15,96;-39,05;-34,41;-51,66;-64,35;-53,89
-18,21;-38,30;-32,74;-52,76;-65,84;-53,26
-20,12;-36,07;-31,83;-55,28;-67,62;-52,40
-21,11;-35,55;-29,36;-56,38;-69,11;-51,59
-20,13;-33,43;-29,44;-58,84;-70,89;-50,45
-19,32;-32,34;-24,36;-60,28;-72,44;-49,71
-19,66;-30,80;-25,70;-62,23;-73,99;-49,25
-19,83;-29,13;-25,38;-63,95;-75,54;-48,56
-20,21;-28,17;-19,82;-65,67;-77,09;-47,87
-23,04;-25,98;-22,44;-67,45;-78,64;-47,13
-23,62;-25,30;-20,39;-68,94;-80,24;-46,50
-24,20;-22,89;-16,20;-70,72;-81,62;-46,38
-24,15;-22,09;-18,54;-72,27;-82,94;-46,04
-22,53;-20,26;-17,82;-73,82;-84,60;-45,64
-22,47;-18,82;-12,93;-75,42;-85,75;-45,46
-22,70;-17,86;-14,97;-76,80;-87,13;-45,29
-22,76;-15,61;-15,42;-78,17;-88,56;-45,12
-22,47;-15,05;-11,37;-79,60;-89,81;-44,89
-22,70;-13,09;-9,85;-80,81;-90,79;-44,89
-22,70;-12,06;-10,02;-82,01;-92,05;-44,83
-22,76;-11,33;-11,36;-83,27;-93,08;-45,01
-22,53;-9,01;-11,39;-84,31;-94,12;-45,18
-22,53;-8,45;-9,09;-85,34;-95,20;-45,35
-22,53;-7,60;-7,35;-86,48;-96,06;-45,47
-22,29;-5,75;-7,00;-87,11;-96,97;-45,81
-23,04;-5,06;-6,60;-88,03;-97,66;-46,15
-23,68;-4,49;-6,30;-88,71;-98,35;-46,50
-24,03;-3,46;-6,48;-89,45;-99,04;-46,73
-23,92;-2,25;-6,77;-89,97;-99,78;-47,42
-23,12;-1,73;-6,54;-90,54;-100,34;-48,11
-21,11;-1,28;-6,54;-90,88;-100,64;-48,85
-20,13;-0,53;-6,41;-91,28;-101,26;-49,31
-19,44;-0,01;-6,76;-91,45;-101,38;-49,94
-18,90;0,56;-6,74;-91,68;-101,77;-50,75
-21,10;0,91;-7,87;-91,68;-102,00;-51,83
-20,82;1,31;-10,48;-91,73;-102,00;-52,75
-21,07;1,49;-11,00;-91,56;-102,00;-53,27
-17,73;1,72;-12,30;-91,44;-102,05;-54,53
-16,40;1,72;-9,73;-91,09;-101,88;-55,62
-15,63;1,72;-9,51;-90,80;-101,75;-56,37
-17,90;1,78;-13,57;-90,29;-101,41;-57,57
